Δαρείου	OF DARIUS
ἀνιώμενος·	for
γὰρ	it-was
ἦν	not
οὐ	of
πρὸς	the-nature
τρόπου	of-Cyrus
τοῦ	not
Κύρου	to-pay
μὴ	ne-having
ἀποδιδόναι	(wherewith so to do).
ἔχοντα.	Here
Ἐνταῦθα	Epyaxa
Ἐπίαξα	the
ἡ	wife
γυνή	of-Syennesis
Συεννέσιος	the
τοῦ	king
βασιλέως	'of (the)
Κιλίκων	'Cilicians
ἀφικνεῖται,	arrives,
παρά	(on a visit) to
Κῦρον·	Cyrus;
καὶ	and
ἐλέγετο	she-was-said
δοῦναι	to-have-given
Κίρῳ	Cyrus
πολλά	much
χρήματα.	money.
Κῦρος	Cyrus
δ'	therefore
οὖν	then
τότε	paid
ἀπέδωκε	the
τῇ	army
στρατιᾷ	(their)
μισθὸν	wages
τεττάρων	for-four
μενῶν.	months.
Ἡ	The
Κίλισσα	Cilician (queen)
δὲ	also
καὶ	had
εἶχε	(a)
φύλακας	guard
περὶ	with
αὑτὴν	her (composed of)
Κίλικας	Cilicians
καὶ	and
᾿Ασπενδίους·	Aspendians;
καὶ	and
δὲ	also
ἐλέγετο	it-was-said
Κύρον	(that) Cyrus
συγγενέσθαι	had-connexion
τῇ	with-the
Κιλίσσῃ.	Cilician (queen).
Ἐντεῦθεν	Hence
δὲ	he-marches-forth
ἐξελαύνει	two
δύο	stations,
σταθμούς,	(making)
δέκα	ten
παρασάγγας	parasangs
εἰς	to
Θύμβριον,	Thymbrium,
οἰκουμένεν	(a) peopled
πόλιν.	town.
Ἐνταῦθα	Here
ἦν	there-was,
παρὰ	by
τὴν	the
ὁδὸν	road (side)
ἡ	(a)
κρήνη	fountain
καλουμένη	which was-called
Μίδου	(the fountain of) Midas,
τοῦ	the
βασιλέως	king
Φρυγων,	of-Phrygia,
ἐφ᾿	at
ἡ	which,
Μίδας	Midas
λέγεται	is-said
θηρεῦσai	to-have-captured
τὸν	the
Σάτυρον,	Satyr,
κεράσας	having-mixed
αὐτήν	it (the fountain]
οἴνῳ.	with-wine.
Ἐντεῦθεν	Hence
ἐξελαύνει	he-marches-forth
δύο	two
σταθμούς	stations
δέκα	(making) ten
παρασάγγας,	parasangs,
εἰς	to
Τυριαῖον	Tyriæum
οἰκουμένην	(an) inhabited
πόλιν.	town.
Ἐνταῦθα	Here
ἔμεινε	he-remained
τρεῖς	three
ἡμέρας,	days,
καὶ	and
ἡ	the
Κίλισσα	Cilician (queen)
λέγεται	is-said
δεηθῆναι	to-have-requested
Κύρου	of-Cyrus
ἐπιδεῖξαι	| to-have-shown [to show]
τὸ	| (the) (his)
στράτευμα	army
αὐτῇ.	to-her.
Οὖν	He therefore
βουλόμενος	'willing
ἐπιδεῖζαι,	| to-have-shown [to showit],
ποιεῖται	makes (a)
ἐξέτασιν	review
ἐν	in
τῷ	the
πεδίῳ	plains
τῶν	of-the
Ἑλλήνων	Greeks
καὶ	and
τῶν	of-the
βαρβάρων.	barbarians.
Ἐκέλευσε	He-orders
δὲ	the
τοὺς	Greeks
Ἕλληνας	| so
οὕτω	to-have-been-arranged
ταχθῆναι	[so to be marshalled]
ὡς	as
νόμος	(was the) custom
αὐτοῖς	for-them
εἰς	in
μάχην	battle,
καὶ	and
στῆναι,	to-stand (in such order),
δὲ	but
ἔκαστον	(that) each
συντάξαι	(commander) was-to-arrange
τοὺς	| the
ἑαυτοῦ.	of-himself [his own men].
Οὖν	| 'They-were
ἐτάχθησαν	therefore
ἐπὶ	'arranged
τεττάρων.	in fours; [they were drawn up four deep);
Μένων	Menon
μὲν	indeed
δὲ,	and
καὶ	| (the)
οἱ	(those)
σὺν	with
αὐτῷ	him
εἶχε	had
τὸ	the
δεξιον,	right,
δὲ	but
Κλέαρχος	Clearchus
καὶ	| and
οἱ	the
ἐκείνου	of-him [and his men]
τὸ	the
εὐώνυμον,	left,
οἱ	the
ἄλλοι	other
στρατηγοί	commanders
δὲ	-
τὸ	the
μέσον.	centre.
Ὁ	Cyrus
Κῦρος	therefore
οὖν	first
μὲν	reviewed
πρῶτον	the
ἐθεώρει	barbarians
τοὺς	and
βαρβάρους	they-marched-past-him
οἱ	drawn-up
δὲ	in
παρήλαυνον	troops
τεταγμένοι	and
κατὰ	in
ἴλας	companies,
καὶ	and
κατὰ	afterwards
τάξεις,	(he reviewed)
δὲ	the
εἶτα	Greeks
τοὺς	riding-by-them
Ἕλληνας	in
παρελαύνων	(his)
ἐφ᾽	chariot,
ἅρματος	and
καὶ	the
ἡ	Cilician
Κίλισσα	(queen)
ἐφ᾽	in
ἁρμαμάξης.	(a) covered-carriage.
Πάντες	All
δὲ	had
εἶχον	brazen
χαλκᾶ	helmets,
κράνη,	and
καὶ	scarlet
φοινικοῦς	tunics,
χιτῶνας,	and
καὶ	greaves,
κνημίδας,	and
καὶ	the
τὰς	shields
ἀσπίδας	burnished.
ἐκκεκαθαρμένας.	After
Ἐπειδὴ	he-had-ridden-past
δὲ	all,
παρήλασε	having-stopped
πάντας,	(his)
στήσας	chariot
τὸ	in-front-of
ἅρμα	the
πρὸ	phalanx,
τῆς	(and)
φάλαγγος,	having-sent
πέμψας	Pigres
Πίγρητα	the
τὸν	interpreter
ἑρμηνέα	to
παρὰ	the
τοὺς	comman-
στρατηγοὺς	ders
τῶν	of-the
Ἑλλήνων	Greeks
ἐκέλευσε	he-commanded
προβαλέσθαι	(them) to-thrust-forward
τὰ	(their)
ὅπλα,	arms,
καὶ	and
ἐπιχωρῆσαι	| to-have-moved-forward [to move forward]
τὴν	the
ὅλην	entire
φάλαγγα.	phalanx.
Οἱ	The (commanders)
δὲ	announced
προεῖπον	these
ταῦτα	(things)
τοῖς	to-the
στρατιώταις·	soldiers;
καὶ	and
ἐπεὶ	after
ἐσάλπιγξε,	it-was-sounded-with-the trumpet,
προβαλλόμενοι	putting-forward
τα	(their)
ὅπλα,	arms,
ἐπίεσαν.	they-advanced.
Δὲ	And
ἐκ	from
τούτου	this
προϊόντων	going-on
θᾶσσον	more-quickly
σὺν	with
κραυγῇ	(a) shout,
δρόμος	(a) running
ἐγένετο	happened
τοῖς	to-the
στρατιώταις	soldiers [the soldiers commenced running]
ἀπὸ	of
τοῦ	their-own-accord
αὐτομάτου	to
ἐπὶ	the
τὰς	tents.
σκηνάς.	And
Καὶ	also
δὲ	(there was)
πολὺς	(a) great
φόβος	fear
ἄλλοις	to-others
τῶν	of-the
βαρβάρων,	barbarians,
καὶ	and
τε	the
ἡ	Cilician
Κίλισσα	(queen)
ἔφυγεν	fled
ἐκ	from
τῆς	the
ἁρμαμάξης,	Persian-carriage,
καὶ	and
οἱ	(those)
ἐκ	in
τῆς	the
ἀγορᾶς	markets
ἔφυγον	fled
καταλιπόντες	having-left-behind
τὰ	the
ὤνια·	things exposed-to-sale;
δὲ	but
οἱ	the
Ἕλληνες	Greeks
ἦλθον	went
ἐπὶ	to
τας	the
σκηνας	tents
σὶν	with
γέλωτι.	laughter.
Δὲ	(But)
ἡ	the
Κίλισσα	Cilician (queen)
ἰδοῦσα	having-seen
τὴν	the
λαμπρότητα	splendour
καὶ	and
τὴν	the
τάξιν	discipline
τοῦ	of-the
στρατεύματος	army
ἐθαύμασε.	was-struck-with-admiration.
Δε	(But)
Κύρος	Cyrus
ἥσθη	was-delighted
ἰδών	seeing
τὸν	the
φόβον	fear (inspired)
ἐκ	by
τῶν	the
Ἑλλήνων	Greeks
εἰς	into
τούς	the
βαρβάρους.	barbarians.
Ἐντεῦθεν	Hence
ἐξελαύνει	he-marches-forth
τρεῖς	three
σταθμούς,	stations,
εἴκοσι	(making) twenty
παρασάγγας,	parasangs,
εἰς	to
Ἰκόνιον,	Iconium,
ἐσχάτην	(the) last
πόλιν	town
τῆς	of-Phrygia.
Φρυγίας.	Here
Ἐνταῦθα	he-remained
ἔμεινε	three
τρεῖς	days.
ἡμέρας.	Hence
Ἐντεῦθεν	he-marches-forth
ἐξελαύνει	through
διὰ	Lycaonia
τῆς	five
Λυκαονίας	stations,
πέντε	(making)
σταθμούς,	thirty
τριάκοντα	parasangs.
παρασάγγας.	He-permitted
Ἐπέτρεψε	the
τοῖς	Greeks
Ἕλλησι	| (to-have-plundered) (to plunder)
διαρπάσαι	this
τὴν	country,
ταύτην	as
χώραν,	being
ὡς	hostile.
οὖσαν	Hence
πολεμίαν.	Cyrus
Ἐντεῦθεν	sends-away
Κῦρος	the
ἀποπέμπει	Cilician (queen)
τὴν	by-the
Κίλισσαν	| quickest [shortest]
τὴν	road
ταχίστην	into
ὁδόν	Cilicia;
εἰς	and
τὴν	he-sent-with
Κιλικίαν·	her
καὶ	(the)
συμέπεμψεν	soldiers,
αὐτῇ	that
στρατιώτας,	Menon
οὓς	had,
Μένων	and
εἶχε,	(Menon)
καὶ	himself.
αὐτόν.	Cyrus
Κύρος	indeed
δὲ	with
μετὰ	the
τῶν	others
ἄλλων	marches-forth
ἐξελαύνει	through
διὰ	Cap-
Καππαδοκίας	padocia
τέτταρας	four
σταθμούς,	stations,
εἴκοσι	(making) twenty
καὶ	and
πέντε	five
παρασάγγας,	parasangs,
πρὸς	to
Δάναν	Dana
οἰκουμένην	(a) peopled
πόλιν,	town
μεγάλην	large
καὶ	and
εὐδαίμονα.	wealthy.
Ἐνταῦθα	Here
ἔμειναν	they-remained
τρεῖς	three
ἡμέρας·	days;
ἐν	during
ᾧ	which (time)
Κῦρος	Cyrus
ἀπέκτεινε	put-to-death
Πέρσην	(a) Persian
ἄνδρα	(man)
Μεγαφέρνην,	Megaphernes (by name),
βασίλειον	(a) royal
φοινικιστὴν,	purple-wearer
καὶ	(and)
τινα	a-certain
ἕτερόν	other
δυνάστην	powerful-person
τῶν	of the
ὑπάρχων	officers-high-in-command
αἰτιασάμενος	baving-accused (him)
ἐπιβουλεύειν	| to-conspire
αὐτῷ.	to-him [of conspiring against him].
Ἐντεῦθεν	Hence
ἐπειρῶντο	they-endeavoured
εἰσβάλλειν	to-throw-themselves
εἰς	into
τὴν	Cilicia;
Κιλικίαν·	but
δὲ	the
ἡ	entrance
εἰσβολὴ	was
ἦν	(a)
ὁδὸς	road (only broad enough for a
ἁμαξιτὸς,	single) wagon-way,
ἰσχυρῶς	very
ὀρθία,	steep,
καὶ	and
ἀμήχανος	impracticable
στρατεύματι	'for (an) 'army
εἰσελθεῖν,	to-enter,
εἴ	if
τις	any-one
ἐκώλυε.	opposed.
Καὶ	And
δε	also
Συέννεσις	Syennesis
ἐλέγετο	was-said
εἶναι	to-be
ἐπὶ	on
τῶν	the
ἄκρων,	heights,
φυλάττων	guarding
τὴν	the
εἰσβολήν·	entrance;
δι'	for
ὃ	which (reason)
ἐμεινεν	he-remained
ἡμέραν	(a) day
ἐν	on
τῷ	the
πεδίῳ.	plain.
Δὲ	But
τῇ	on-the
ὑστεραίᾳ	next-day
ἄγγελος	(a) messenger
ἥκε	came
λέγων	saying
ὅτι	that
Συέννεσις	Syennesis
εἴη	might-be
λελοιπώς	having-left [had left]
τὰ	the
ἄκρα,	heights,
ἐπεὶ	after
ᾔσθετο	he-perceived
ὅτι	that
τὸ	the
στράτευμα	army
Μένωνος	of-Menon
ἦν	was
ἤδη	already
ἐν	in
Κιλικίᾳ,	Cilicia,
εἶσω	within
τῶν	the
ὀρέων,	mountains,
καὶ	and
ὅτι	because
ἤκουε	he-heard (that)
Ταμῶν	Tamos
ἔχοντα	having
τριήρεις	galleys
τὰς	(namely) (those)
Λακεδαιμονίων	'of (the) 'Lacedæmonians
καὶ	and
Κύρου	of-Cyrus
αὐτοῦ,	himself,
περιπλεούσας	(and that) 'he (Tamos) 'was-sailing-round
ἀπ'	from
Ἰωνίας	Ionia
εἰς	into
Κιλικίαν.	Cilicia.
Κῦρος	Cyrus
δ'	therefore
οὖν	ascended
ἀνέβη	(on)
ἐπι	the
τὰ	mountains,
ὄρη,	no-one
οὐδενὸς	opposing,
κωλύοντος,	and
καὶ	he-saw
εἶδε	the
τὰς	tents,
σκηνάς,	where
οὗ	the
οἱ	Cilicians
Κίλικες	kept-guard.
ἐφύλαττον.	Hence
Ἐντεῦθεν	he-descended
δὲ	into
κατέβαινεν	(a)
εἰς	large
μέγα	and
καὶ	beautiful
καλόν	plain,
πεδίον,	well-watered,
ἐπίῤῥυτον,	and
καὶ	(being)-full
ἔμπλεων	of-all-kinds
παντοδαπῶν	of-trees
δένδρων	and
καὶ	vines;
ἀμπέλων·	and
καὶ	also
δὲ	it-bears
φέρει	much
πολύ	sesamum,
σήσαμον	and
καὶ	panic,
μελίνην,	and
καὶ	millet,
κέγχρον	and
καὶ	wheat,
πυροὺς	and
καὶ	barley.
κριθας.	(A)
Ὄρος	mountain (chain)
δ	strong
ὀχυρὸν	(by nature and art)
καὶ	and
ὑψηλὸν	high
περιέχει	surrounds
αὐτὸ	it
πάντη	on-all-sides
ἐκ	from
θαλάττης	sea
εἰς	to
θάλατταν.	sea.
Καταβάς	Descending
δὲ	-
διὰ	through
τοῦτου	this
τοῦ	plain
πεδίου	he-proceeds
ἤλασε	four
τέτταρας	days' march,
σταθμούς,	(making)
πέντε	five
καὶ	and
εἴκοσι	twenty
παρασάγγας,	parasangs,
εἰς	to
Ταρσούς	Tarsus
μεγάλην	(a) large
καὶ	and
εὐδαίμονα	wealthy
πόλιν	city
τῆς	of-Cilicia.
Κιλικίας.	Here
Ἐνταῦθα	were
ἦσαν	the
τὰ	palaces
βασίλεια	of-Syennesis
Συεννέσιος	the
τοῦ	king
βασιλέως	'of (the)
Κιλίκων·	'Cilicians;
δὲ	and
δια	through
μέσης	(the) middle
τῆς	of-the
πόλεως	city
ῥεῖ	runs
ποταμός	(a) river
ὄνομα	(the) name (of which is)
Κύδνος,	Cydnus,
εὖρος	(the) breadth (of which is)
δύο	two
πλέθρον.	plethra.
Οἱ	(Those)
ἐνοικοῦντες	inhabiting
τὴν	this
ταύτην	city
πόλιν	deserted
εξέλιπον	(it)
μετὰ	together-with
Συεννέσιος	Syennesis
εἰς	for
ὀχυρὸν	(a) fortified
χωρίον	place
ἐπὶ	on
τὰ	the
ὄρη,	mountains,
πλὴν	except
οι	-
ἔχοντες	(those) having
τὰ	shops;
καπηλεῖα·	and
καὶ	also
δὲ	(those)
οἱ	dwelling
οἰκοῦντες	near
μωρά	the
την	sea
θάλατταν	at
ἐν	Soli
Σόλοις	and
καὶ	at
ἐν	Issus,
Ἰσσοῖς.	Epyaxa
Ἐπίνιξα	also,
δὲ,	the
ἡ	wife
γυνή	of-Syennesis
Συεννέσιος	arrived
ἀφίκετο	at
εἰς	Tarsus
Ταρσοὺς	five
πέντε	days
ἡμέρας	before
προτέρα	Cyrus;
Κύρου·	but
δὲ	in
ἐν	the
τῇ	crossing-over
ὑπερβολῇ	-the
τῶν	mountains,
ὀρῶν,	(namely, those which descend)
τῶν	to
εἰς	the
τὸ	plain,
πεδίον,	two
δύο	companies
λόχοι	'of (the)
τοῦ	'army
στρατεύματος	of-Menon
τοῦ	perished.
Μένωνος	-(Some)
ἀπώλοντο.	indeed
Οἱ	said
μὲν	| (that while)
ἔφασαν	plundering
ἁρπάζοντάς	something
τι	to-have-been-cut-to-pieces
κατακοπῆναι	[that they had been cut to pieces
ὑπὸ	while plundering]
τῶν	by
Κιλίκων·	the Cilicians;
δὲ	but
οἱ	(others) (that)
ὑπολειφθέντας,	peing-left-behind,
καὶ	and
οὐ	not
δυναμέους	being-able
εὑρεῖν	to-find
τὸ	the
ἄλλο	rest
στράτευμα	(of the) army
οὐδὲ	nor
τὰς	the
ὁδοὺς	roads
εἶτα	after
πλανωμένους	wandering-about
ἀπολέσθαι·	to-have-perished;
οὗτοι	these
δὲ	therefore
οὖν	were
ἦσαν	a-hundred
ἑκατὸν	heavy-armed-men.
ὁπλῖται.	But
Δ'	the
οἱ	rest
ἄλλοι	(of Menon's command)
ἐπεὶ	after
ἧκον,	they-arrived,
ὀργιζόμενοι	enraged
διὰ	at
τὸν	the
ὄλεθρον	destruction
τῶν	(of their)
συστρατιωτῶν	fellow-soldiers
διήρπασαν	plundered
τὴν	the
τε	city
πόλιν	Tarsus,
τοὺς	and
Ταρσοὺς,	the
καὶ	palaces
τὰ	in
βασίλεια	it.
τὰ	Cyrus
ἐν	indeed
αὐτῇ.	after
Κῦρος	he-entered
δὲ	into
ἐπεὶ	the
εἰσήλασεν	city,
εἰς	sent-for
τὴν	Syennesis
πόλιν,	(to come)
μετεπέμπετο	to
τον	him;
Συέννεσιν	but
πρὸς	he-said
ἑαυτόν·	| never
ὁ	yet
δ'	before-this
ἔφη	to-have-come
οὔτε	into
πω	hands
πρότερον	that never yet before this had he put himself in the power of]
ἐλθεῖν	any-person
εἰς	superior-in-power
χεῖρας	(to)
οὐδενί	himself,
κρείττονι	neither
ἑαυτοῦ,	would-he
οὔτε	then
ἤθελε	| (to-go) (go)
τότε	to-Cyrus,
ἰέναι	before
Κύρῳ,	-
πρὶν	(his)
ἡ	wife
γυνὴ	'brought him
ἔπεισε	'to-it,
αὐτὸν,	and
καὶ	he-received
ἔλαβε	assurances
πίστεις.	(of safety).
Μετα	After
δὲ	-
ταῦτα,	these-things,
ἐπεὶ	when
συνεγένοντο	they-met
ἀλλήλοις,	one-another,
Συέννεσις	Syennesis
μὲν	(indeed)
ἔδωκε	gave
Κύρῳ	Cyrus
πολλὰ	many
χρήματα	things
εἰς	for
την	(his)
στρατιάν,	army,
δε	and
Κύρος	Cyrus
ἐκείνῳ	(gave) to-him
δῶρα,	gifts,
ἃ	which
νομίζεται	are-accustomed-to-be-held
τίμια	as-valuable
παρὰ	by
βασιλεῖ	(a) king
ἵππον	(namely) (a)
χρυσοχάλινον,	horse having-a-golden-bridle,
καὶ	and
χρυσοῦν	a-golden
στρεπτὸν,	twisted-collar,
καὶ	and
ψέλλια,	bracelets,
καὶ	and
χρυσοῦν	a-golden
ἀκινάκην,	scimitar,
καὶ	and
Περσικήν	a-Persian
στολὴν,	robe,
καὶ	and
τὴν	(he agreed that) the
χώραν	country
μηκέτι	(was) not-hereafter
ἀφαρπάζεσθαι·	to-be-plundered;
δε	and
ἀπολαμβάνειν	(that they were) to-receive-back
τὰ	the
ἡρπασμένα	captured
ἀνδράποδα,	slaves,
ἦν	if
που	any-where
ἐντυγχάνωσι.	they-meet-with-them.
Ἐνταῦθα	HERE
Κῦρος	Cyrus
καὶ	and
ἡ	the
στρατια	army
ἔμεινε	remained
εἴκοσιν	twenty
ἡμέρας·	days;
γὰρ	| for
οἱ	the
στρατιῶται	soldiers
ἔφασαν	said
οὐκ	not
ἰέναι	to-go
τοῦ	[for the soldiers refused to go any farther].
πρόσω.	farther
Γαρ	For
ἤδη	already
ὑπώπτευον	Now at last they-suspected
ἰέναι	| to-go
ἐπὶ	against
βασιλέα·	(the) king; [that they were going against the king of Persia];
δὲ	and
ἔφασαν	they-said
οὐ	(that they) were not
μισθωθῆναι	hired
ἐπὶ	for
τούτῳ.	this (purpose).
Κλέαρχος	Clearchus
δὲ	first
πρῶτος	endeavoured-to-compel
ἐβιάζετο	| the
τοὺς	soldiers
στρατιώτας	of-him
αὑτοῦ	[his soldiers)
ἰέναι·	to-go;
οἱ	but
δὲ	(his men)
τε	began-to-pelt
ἐβαλλον	him
αὐτόν	(with stones)
καὶ	and
τὰ	(also)
ὑποζύγια	the
τὰ	beasts-of-burden
ἐκείνου,	| the of-him, [belonging to him],
ἐπεὶ	after
ἤρξατο	he-began
προϊέναι.	to-advance.
Κλέαρχος	Clearchus
δὲ	indeed
μὲν	then
τότε	narrowly
μικρὸν	escaped
ἐξεφυγε	| lest
μὴ	the
τὸ	to-have-been-stoned;
καταπετρωθήναι·	[stoning to death];
